0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:34 +0200] "GET /api/project_analyses/search?project=FOP&from=2020-06-28T17%3A16%3A34%2B0000 HTTP/1.1" 200 280 "http://localhost:9000/dashboard?id=FOP" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAq"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:34 +0200] "GET /api/ce/component?component=FOP HTTP/1.1" 200 460 "http://localhost:9000/dashboard?id=FOP" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAr"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:34 +0200] "GET /api/ce/analysis_status?component=FOP HTTP/1.1" 200 441 "http://localhost:9000/dashboard?id=FOP" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAs"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:34 +0200] "GET /api/measures/search_history?from=2020-06-28T17%3A16%3A34%2B0000&component=FOP&metrics=bugs%2Cvulnerabilities%2Csqale_index%2Cduplicated_lines_density%2Cncloc%2Ccoverage%2Ccode_smells%2Creliability_rating%2Csecurity_rating%2Csqale_rating&ps=1000 HTTP/1.1" 200 953 "http://localhost:9000/dashboard?id=FOP" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAo"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:34 +0200] "GET /api/measures/component?additionalFields=period%2Cmetrics&component=FOP&metricKeys=alert_status%2Cquality_gate_details%2Cbugs%2Cnew_bugs%2Creliability_rating%2Cnew_reliability_rating%2Cvulnerabilities%2Cnew_vulnerabilities%2Csecurity_rating%2Cnew_security_rating%2Csecurity_hotspots%2Cnew_security_hotspots%2Csecurity_hotspots_reviewed%2Cnew_security_hotspots_reviewed%2Csecurity_review_rating%2Cnew_security_review_rating%2Ccode_smells%2Cnew_code_smells%2Csqale_rating%2Cnew_maintainability_rating%2Csqale_index%2Cnew_technical_debt%2Ccoverage%2Cnew_coverage%2Clines_to_cover%2Cnew_lines_to_cover%2Ctests%2Cduplicated_lines_density%2Cnew_duplicated_lines_density%2Cduplicated_blocks%2Cncloc%2Cncloc_language_distribution%2Cprojects%2Clines%2Cnew_lines HTTP/1.1" 200 - "http://localhost:9000/dashboard?id=FOP" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAl"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:34 +0200] "GET /api/measures/component?additionalFields=period%2Cmetrics&component=FOP&metricKeys=alert_status%2Cquality_gate_details%2Cbugs%2Cnew_bugs%2Creliability_rating%2Cnew_reliability_rating%2Cvulnerabilities%2Cnew_vulnerabilities%2Csecurity_rating%2Cnew_security_rating%2Csecurity_hotspots%2Cnew_security_hotspots%2Csecurity_hotspots_reviewed%2Cnew_security_hotspots_reviewed%2Csecurity_review_rating%2Cnew_security_review_rating%2Ccode_smells%2Cnew_code_smells%2Csqale_rating%2Cnew_maintainability_rating%2Csqale_index%2Cnew_technical_debt%2Ccoverage%2Cnew_coverage%2Clines_to_cover%2Cnew_lines_to_cover%2Ctests%2Cduplicated_lines_density%2Cnew_duplicated_lines_density%2Cduplicated_blocks%2Cncloc%2Cncloc_language_distribution%2Cprojects%2Clines%2Cnew_lines HTTP/1.1" 200 - "http://localhost:9000/dashboard?id=FOP" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAt"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:36 +0200] "GET /api/issues/search?componentKeys=FOP&s=FILE_LINE&resolved=false&ps=100&facets=owaspTop10%2CsansTop25%2Cseverities%2CsonarsourceSecurity%2Ctypes&additionalFields=_all&timeZone=Europe%2FStockholm HTTP/1.1" 200 - "http://localhost:9000/project/issues?id=FOP&resolved=false" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAu"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:37 +0200] "GET /api/issues/search?componentKeys=FOP&s=FILE_LINE&resolved=false&types=BUG&ps=100&facets=owaspTop10%2CsansTop25%2Cseverities%2CsonarsourceSecurity%2Ctypes&additionalFields=_all&timeZone=Europe%2FStockholm HTTP/1.1" 200 - "http://localhost:9000/project/issues?id=FOP&resolved=false&types=BUG" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAv"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:40 +0200] "GET /api/issues/search?componentKeys=FOP&s=FILE_LINE&resolved=false&types=BUG&ps=1&facets=rules&additionalFields=_all&timeZone=Europe%2FStockholm HTTP/1.1" 200 - "http://localhost:9000/project/issues?id=FOP&resolved=false&types=BUG" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAw"
0:0:0:0:0:0:0:1 - - [28/Jun/2021:19:16:43 +0200] "GET /api/rules/search?f=name%2ClangName&q=null%20poine&p=1&ps=30&s=name&include_external=true HTTP/1.1" 200 36 "http://localhost:9000/project/issues?id=FOP&resolved=false&types=BUG" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXpTnzkLkdT2jS9QAAAx"
