0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:51:26 +0200] "GET /api/qualitygates/list HTTP/1.1" 200 286 "http://localhost:9000/quality_gates" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAAv"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:51:26 +0200] "GET /api/metrics/search?ps=500 HTTP/1.1" 200 - "http://localhost:9000/quality_gates/show/AXnMpuWCUrQJXuZTUIGT" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAAw"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:51:26 +0200] "GET /api/qualitygates/show?id=AXnMpuWCUrQJXuZTUIGT HTTP/1.1" 200 730 "http://localhost:9000/quality_gates/show/AXnMpuWCUrQJXuZTUIGT" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAAx"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:51:33 +0200] "GET /js/327.m.a4ff7ff6.chunk.js HTTP/1.1" 200 - "http://localhost:9000/profiles" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAAy"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:51:33 +0200] "GET /api/qualityprofiles/exporters HTTP/1.1" 200 411 "http://localhost:9000/profiles" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAAz"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:51:33 +0200] "GET /api/qualityprofiles/search HTTP/1.1" 200 - "http://localhost:9000/profiles" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAA0"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:51:33 +0200] "GET /api/rules/search?asc=false&available_since=2020-08-25&f=name%2ClangName%2Cactives&ps=10&s=createdAt HTTP/1.1" 200 - "http://localhost:9000/profiles" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAA1"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:51:42 +0200] "GET /js/287.m.1cd25826.chunk.js HTTP/1.1" 200 - "http://localhost:9000/coding_rules?activation=false&qprofile=AXo94jEbCVhO4MXR0bqJ" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAA3"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:51:42 +0200] "GET /js/10.m.5251fb5a.chunk.js HTTP/1.1" 200 - "http://localhost:9000/coding_rules?activation=false&qprofile=AXo94jEbCVhO4MXR0bqJ" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAA4"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:51:42 +0200] "GET /js/275.m.5d337aea.chunk.js HTTP/1.1" 200 - "http://localhost:9000/coding_rules?activation=false&qprofile=AXo94jEbCVhO4MXR0bqJ" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAA2"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:51:42 +0200] "GET /api/rules/app HTTP/1.1" 200 - "http://localhost:9000/coding_rules?activation=false&qprofile=AXo94jEbCVhO4MXR0bqJ" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAA6"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:51:42 +0200] "GET /api/qualityprofiles/search HTTP/1.1" 200 - "http://localhost:9000/coding_rules?activation=false&qprofile=AXo94jEbCVhO4MXR0bqJ" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAA5"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:51:42 +0200] "GET /api/rules/search?f=isTemplate%2Cname%2Clang%2ClangName%2Cseverity%2Cstatus%2CsysTags%2Ctags%2CtemplateKey%2Cactives%2Cparams&facets=languages%2Ctypes&ps=100&s=name&activation=false&qprofile=AXo94jEbCVhO4MXR0bqJ HTTP/1.1" 200 - "http://localhost:9000/coding_rules?activation=false&qprofile=AXo94jEbCVhO4MXR0bqJ" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAA7"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:51:44 +0200] "GET /api/qualityprofiles/exporters HTTP/1.1" 200 411 "http://localhost:9000/profiles" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAA8"
0:0:0:0:0:0:0:1 - - [25/Aug/2021:08:51:44 +0200] "GET /api/qualityprofiles/search HTTP/1.1" 200 - "http://localhost:9000/profiles" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/14.1.1 Safari/605.1.15" "AXt8Ewrleo8sYu+8AAA9"
